InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536634,22457,NATURAL SLATE HEART CHALKBOARD ,4,12/2/2010 11:21,2.95,18041.0,United Kingdom
536634,20674,GREEN POLKADOT BOWL,12,12/2/2010 11:21,1.25,18041.0,United Kingdom
536634,20676,RED RETROSPOT BOWL,12,12/2/2010 11:21,1.25,18041.0,United Kingdom
536634,20727,LUNCH BAG  BLACK SKULL.,20,12/2/2010 11:21,1.65,18041.0,United Kingdom
536634,82582,AREA PATROLLED METAL SIGN,1,12/2/2010 11:21,2.1,18041.0,United Kingdom
536634,21181,PLEASE ONE PERSON METAL SIGN,2,12/2/2010 11:21,2.1,18041.0,United Kingdom
536634,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,12/2/2010 11:21,2.95,18041.0,United Kingdom
536634,82494L,WOODEN FRAME ANTIQUE WHITE ,2,12/2/2010 11:21,2.95,18041.0,United Kingdom
536634,21967,PACK OF 12 SKULL TISSUES,12,12/2/2010 11:21,0.29,18041.0,United Kingdom
536634,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,3,12/2/2010 11:21,6.75,18041.0,United Kingdom
536634,21210,SET OF 72 RETROSPOT PAPER  DOILIES,2,12/2/2010 11:21,1.45,18041.0,United Kingdom
536634,21679,SKULLS  STICKERS,30,12/2/2010 11:21,0.85,18041.0,United Kingdom
536634,22094,RED RETROSPOT TISSUE BOX,6,12/2/2010 11:21,1.25,18041.0,United Kingdom
536634,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,52,12/2/2010 11:21,0.85,18041.0,United Kingdom
536635,21429,RED GINGHAM ROSE JEWELLERY BOX,16,12/2/2010 11:22,1.65,15955.0,United Kingdom
536635,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,8,12/2/2010 11:22,4.25,15955.0,United Kingdom
536635,22961,JAM MAKING SET PRINTED,12,12/2/2010 11:22,1.45,15955.0,United Kingdom
536635,84375,SET OF 20 KIDS COOKIE CUTTERS,12,12/2/2010 11:22,2.1,15955.0,United Kingdom
536635,21877,HOME SWEET HOME MUG,12,12/2/2010 11:22,1.25,15955.0,United Kingdom
536635,21870,I CAN ONLY PLEASE ONE PERSON MUG,12,12/2/2010 11:22,1.25,15955.0,United Kingdom
536635,21868,POTTING SHED TEA MUG,12,12/2/2010 11:22,1.25,15955.0,United Kingdom
536635,85150,LADIES & GENTLEMEN METAL SIGN,12,12/2/2010 11:22,2.55,15955.0,United Kingdom
536635,85152,HAND OVER THE CHOCOLATE   SIGN ,12,12/2/2010 11:22,2.1,15955.0,United Kingdom
536635,21181,PLEASE ONE PERSON METAL SIGN,12,12/2/2010 11:22,2.1,15955.0,United Kingdom
536635,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,8,12/2/2010 11:22,2.1,15955.0,United Kingdom
536635,22840,ROUND CAKE TIN VINTAGE RED,4,12/2/2010 11:22,7.95,15955.0,United Kingdom
536635,22502,PICNIC BASKET WICKER SMALL,8,12/2/2010 11:22,5.95,15955.0,United Kingdom
536635,22855,FINE WICKER HEART ,48,12/2/2010 11:22,1.06,15955.0,United Kingdom
536635,21754,HOME BUILDING BLOCK WORD,6,12/2/2010 11:22,5.95,15955.0,United Kingdom
536635,22557,PLASTERS IN TIN VINTAGE PAISLEY ,12,12/2/2010 11:22,1.65,15955.0,United Kingdom
536635,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,12/2/2010 11:22,1.65,15955.0,United Kingdom
536635,84029E,RED WOOLLY HOTTIE WHITE HEART.,8,12/2/2010 11:22,3.75,15955.0,United Kingdom
536635,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,12/2/2010 11:22,3.95,15955.0,United Kingdom
536635,22112,CHOCOLATE HOT WATER BOTTLE,12,12/2/2010 11:22,4.95,15955.0,United Kingdom
536636,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,36,12/2/2010 11:23,2.95,15070.0,United Kingdom
536637,22198,LARGE POPCORN HOLDER ,2,12/2/2010 11:35,1.65,18041.0,United Kingdom
536637,22130,PARTY CONE CHRISTMAS DECORATION ,12,12/2/2010 11:35,0.85,18041.0,United Kingdom
536637,79191C,RETRO PLASTIC ELEPHANT TRAY,1,12/2/2010 11:35,0.85,18041.0,United Kingdom
536637,20733,GOLD MINI TAPE MEASURE ,1,12/2/2010 11:35,0.85,18041.0,United Kingdom
536637,22867,HAND WARMER BIRD DESIGN,1,12/2/2010 11:35,2.1,18041.0,United Kingdom
536637,22633,HAND WARMER UNION JACK,2,12/2/2010 11:35,2.1,18041.0,United Kingdom
536637,20733,GOLD MINI TAPE MEASURE ,1,12/2/2010 11:35,0.85,18041.0,United Kingdom
536637,47471,RAINBOW PEGS PHOTO CLIP STRING,1,12/2/2010 11:35,0.65,18041.0,United Kingdom
536637,85231B,CINAMMON SET OF 9 T-LIGHTS,1,12/2/2010 11:35,0.85,18041.0,United Kingdom
536637,85231G,ORANGE SCENTED SET/9 T-LIGHTS,1,12/2/2010 11:35,0.85,18041.0,United Kingdom
536637,21212,PACK OF 72 RETROSPOT CAKE CASES,1,12/2/2010 11:35,0.55,18041.0,United Kingdom
536637,22633,HAND WARMER UNION JACK,1,12/2/2010 11:35,2.1,18041.0,United Kingdom
536637,16046,TEATIME PEN CASE & PENS,1,12/2/2010 11:35,0.85,18041.0,United Kingdom
536637,22654,DELUXE SEWING KIT ,1,12/2/2010 11:35,5.95,18041.0,United Kingdom
536637,22652,TRAVEL SEWING KIT,1,12/2/2010 11:35,1.65,18041.0,United Kingdom
536637,22653,BUTTON BOX ,2,12/2/2010 11:35,1.95,18041.0,United Kingdom
536637,21914,BLUE HARMONICA IN BOX ,1,12/2/2010 11:35,1.25,18041.0,United Kingdom
536637,22961,JAM MAKING SET PRINTED,2,12/2/2010 11:35,1.45,18041.0,United Kingdom
536637,22633,HAND WARMER UNION JACK,1,12/2/2010 11:35,2.1,18041.0,United Kingdom
536637,22616,PACK OF 12 LONDON TISSUES ,12,12/2/2010 11:35,0.29,18041.0,United Kingdom
536637,85135B,BLUE DRAGONFLY HELICOPTER,1,12/2/2010 11:35,7.95,18041.0,United Kingdom
536637,22197,SMALL POPCORN HOLDER,1,12/2/2010 11:35,0.85,18041.0,United Kingdom
536637,22960,JAM MAKING SET WITH JARS,2,12/2/2010 11:35,4.25,18041.0,United Kingdom
536637,22696,WICKER WREATH LARGE,1,12/2/2010 11:35,1.95,18041.0,United Kingdom
536637,22196,SMALL HEART MEASURING SPOONS,2,12/2/2010 11:35,0.85,18041.0,United Kingdom
536637,22768,FAMILY PHOTO FRAME CORNICE,2,12/2/2010 11:35,9.95,18041.0,United Kingdom
536637,48138,DOORMAT UNION FLAG,1,12/2/2010 11:35,7.95,18041.0,United Kingdom
536637,22866,HAND WARMER SCOTTY DOG DESIGN,1,12/2/2010 11:35,2.1,18041.0,United Kingdom
536637,22945,CHRISTMAS METAL TAGS ASSORTED ,6,12/2/2010 11:35,0.85,18041.0,United Kingdom
536637,22731,3D CHRISTMAS STAMPS STICKERS ,4,12/2/2010 11:35,1.25,18041.0,United Kingdom
536637,22945,CHRISTMAS METAL TAGS ASSORTED ,12,12/2/2010 11:35,0.85,18041.0,United Kingdom
536637,21154,RED RETROSPOT OVEN GLOVE ,1,12/2/2010 11:35,1.25,18041.0,United Kingdom
536637,22911,PAPER CHAIN KIT LONDON,1,12/2/2010 11:35,2.95,18041.0,United Kingdom
536637,22755,SMALL PURPLE BABUSHKA NOTEBOOK ,1,12/2/2010 11:35,0.85,18041.0,United Kingdom
536637,22195,LARGE HEART MEASURING SPOONS,1,12/2/2010 11:35,1.65,18041.0,United Kingdom
536637,21154,RED RETROSPOT OVEN GLOVE ,2,12/2/2010 11:35,1.25,18041.0,United Kingdom
536637,22867,HAND WARMER BIRD DESIGN,1,12/2/2010 11:35,2.1,18041.0,United Kingdom
536637,21328,BALLOONS  WRITING SET ,1,12/2/2010 11:35,1.65,18041.0,United Kingdom
536637,85114C,RED ENCHANTED FOREST PLACEMAT,8,12/2/2010 11:35,1.65,18041.0,United Kingdom
536637,21326,AGED GLASS SILVER T-LIGHT HOLDER,24,12/2/2010 11:35,0.65,18041.0,United Kingdom
536637,22796,PHOTO FRAME 3 CLASSIC HANGING,2,12/2/2010 11:35,9.95,18041.0,United Kingdom
536637,22130,PARTY CONE CHRISTMAS DECORATION ,6,12/2/2010 11:35,0.85,18041.0,United Kingdom
536637,22733,3D TRADITIONAL CHRISTMAS STICKERS,4,12/2/2010 11:35,1.25,18041.0,United Kingdom
536637,22560,TRADITIONAL MODELLING CLAY,3,12/2/2010 11:35,1.25,18041.0,United Kingdom
536637,22491,PACK OF 12 COLOURED PENCILS,3,12/2/2010 11:35,0.85,18041.0,United Kingdom
